,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,City,Population
548,NCR41,17.85,Low Fat,0.01806055,Health and Hygiene,97.0094,45,2002,Small,Tier 1,Supermarket Type1,2094.6068,Kingston,123798
549,FDW44,9.5,Regular,0.035205866,Fruits and Vegetables,171.3448,49,1999,Medium,Tier 1,Supermarket Type1,2386.2272,Hamilton,747545
550,FDU21,11.8,Regular,0.076705948,Snack Foods,34.7558,35,2004,Small,Tier 2,Supermarket Type1,780.9834,Ottawa,1323783
551,FDI14,14.1,LF,0.089677773,Canned,139.8496,46,1997,Small,Tier 1,Supermarket Type1,1693.7952,London,383822
552,FDW50,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.132327406,Dairy,168.4158,19,1985,Small,Tier 2,Grocery Store,334.2316,Barrie,197059
553,FDN39,19.35,Regular,0.065520388,Meat,168.3816,46,1997,Small,Tier 1,Supermarket Type1,1342.2528,London,383822
554,FDT31,19.75,Low Fat,0.012518706999999999,Fruits and Vegetables,190.6872,17,2007,Small,Tier 2,Supermarket Type1,4916.2672,Windsor,329144
555,FDJ14,10.3,Regular,0.050353695,Canned,78.696,17,2007,Small,Tier 2,Supermarket Type1,1757.7120000000002,Windsor,329144
556,NCQ43,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.110762642,Others,108.5912,27,1985,Medium,Tier 1,Supermarket Type3,1637.868,Toronto,2731571
557,FDZ22,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.045050674000000006,Snack Foods,84.925,27,1985,Medium,Tier 1,Supermarket Type3,1747.725,Toronto,2731571
558,FDU38,10.8,Low Fat,0.083016832,Dairy,193.4504,17,2007,Small,Tier 2,Supermarket Type1,2876.256,Windsor,329144
559,FDS32,17.75,Regular,0.0,Fruits and Vegetables,139.9838,45,2002,Small,Tier 1,Supermarket Type1,1966.7732,Kingston,123798
560,DRH13,8.575,Low Fat,0.023983257999999997,Soft Drinks,106.32799999999999,18,2009,Medium,Tier 3,Supermarket Type2,958.752,Missisauga,713443
561,DRF03,19.1,Low Fat,0.075836522,Dairy,40.2138,10,1998,Small,Tier 3,Grocery Store,81.2276,Waterloo,104986
562,FDJ20,20.7,Regular,0.100330684,Fruits and Vegetables,123.4388,49,1999,Medium,Tier 1,Supermarket Type1,1238.388,Hamilton,747545
563,FDE22,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.051778173,Snack Foods,157.892,19,1985,Small,Tier 2,Grocery Store,319.584,Barrie,197059
564,FDX22,6.785,Regular,0.022970467999999997,Snack Foods,211.0928,35,2004,Small,Tier 2,Supermarket Type1,4418.2488,Ottawa,1323783
565,DRM11,6.57,Low Fat,0.066014596,Hard Drinks,259.7278,13,1987,High,Tier 2,Supermarket Type1,2863.6058,Brampton,593638
566,FDL58,5.78,Regular,0.07429945,Snack Foods,264.9568,45,2002,Small,Tier 1,Supermarket Type1,1845.5976,Kingston,123798
567,FDL25,6.92,Regular,0.131128467,Breakfast,93.1804,49,1999,Medium,Tier 1,Supermarket Type1,1561.9668,Hamilton,747545
568,FDD40,20.25,Regular,0.014816356000000001,Dairy,194.1162,49,1999,Medium,Tier 1,Supermarket Type1,3848.324,Hamilton,747545
569,FDT08,13.65,Low Fat,0.049318315,Fruits and Vegetables,149.005,45,2002,Small,Tier 1,Supermarket Type1,2097.27,Kingston,123798
570,FDO22,13.5,Regular,0.017960491999999998,Snack Foods,81.596,17,2007,Small,Tier 2,Supermarket Type1,639.168,Windsor,329144
571,NCM41,16.5,Low Fat,0.035801238,Health and Hygiene,92.61200000000001,18,2009,Medium,Tier 3,Supermarket Type2,559.2719999999999,Missisauga,713443
572,FDJ21,16.7,Regular,0.038606365,Snack Foods,146.5102,45,2002,Small,Tier 1,Supermarket Type1,2770.3938,Kingston,123798
573,FDC53,8.68,Low Fat,0.008871687,Frozen Foods,99.7384,18,2009,Medium,Tier 3,Supermarket Type2,295.6152,Missisauga,713443
574,DRK35,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.125793938,Hard Drinks,36.2506,19,1985,Small,Tier 2,Grocery Store,37.9506,Barrie,197059
575,FDQ09,7.235,Low Fat,0.058369013,Snack Foods,115.2834,18,2009,Medium,Tier 3,Supermarket Type2,1267.0174,Missisauga,713443
576,DRB48,16.75,Regular,0.0,Soft Drinks,39.3822,46,1997,Small,Tier 1,Supermarket Type1,353.5398,London,383822
577,DRE25,15.35,Low Fat,0.07326933599999999,Soft Drinks,92.11200000000001,35,2004,Small,Tier 2,Supermarket Type1,1118.5439999999999,Ottawa,1323783
578,FDL08,10.8,Low Fat,0.049677650999999996,Fruits and Vegetables,245.9144,13,1987,High,Tier 2,Supermarket Type1,4655.2736,Brampton,593638
579,NCV42,6.26,Low Fat,0.031470832000000004,Household,110.2228,49,1999,Medium,Tier 1,Supermarket Type1,1547.3192,Hamilton,747545
580,FDW03,5.63,Regular,0.024579432000000002,Meat,105.3306,49,1999,Medium,Tier 1,Supermarket Type1,1045.306,Hamilton,747545
581,FDL25,6.92,Regular,0.131665479,Breakfast,91.8804,17,2007,Small,Tier 2,Supermarket Type1,275.6412,Windsor,329144
582,FDC17,12.15,Low Fat,0.015523707,Frozen Foods,212.0928,18,2009,Medium,Tier 3,Supermarket Type2,2735.1064,Missisauga,713443
583,FDK44,16.6,Low Fat,0.122475364,Fruits and Vegetables,175.5738,45,2002,Small,Tier 1,Supermarket Type1,347.5476,Kingston,123798
584,FDE34,9.195,Low Fat,0.10789139800000001,Snack Foods,182.7634,46,1997,Small,Tier 1,Supermarket Type1,3817.0314,London,383822
585,FDP10,19.0,Low Fat,0.128065918,Snack Foods,104.3622,35,2004,Small,Tier 2,Supermarket Type1,1905.5196,Ottawa,1323783
586,FDZ22,9.395,Low Fat,0.045361705,Snack Foods,83.825,45,2002,Small,Tier 1,Supermarket Type1,665.8,Kingston,123798
587,NCK19,9.8,Low Fat,0.09039035699999999,Others,192.1478,13,1987,High,Tier 2,Supermarket Type1,2324.9736,Brampton,593638
588,FDO44,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.087029712,Fruits and Vegetables,109.2228,27,1985,Medium,Tier 1,Supermarket Type3,3205.1612,Toronto,2731571
589,NCU41,18.85,LF,0.052054819,Health and Hygiene,189.1846,46,1997,Small,Tier 1,Supermarket Type1,2101.9306,London,383822
590,NCF31,9.13,Low Fat,0.051952572999999995,Household,152.3024,45,2002,Small,Tier 1,Supermarket Type1,1821.6288,Kingston,123798
591,FDG14,9.0,Regular,0.050786366,Canned,152.2024,17,2007,Small,Tier 2,Supermarket Type1,3643.2576,Windsor,329144
592,NCH30,17.1,Low Fat,0.067141355,Household,114.586,35,2004,Small,Tier 2,Supermarket Type1,2942.836,Ottawa,1323783
593,FDR36,6.715,Regular,0.121485195,Baking Goods,40.2454,13,1987,High,Tier 2,Supermarket Type1,587.2356,Brampton,593638
594,NCJ30,5.82,Low Fat,0.080640478,Household,167.77900000000002,46,1997,Small,Tier 1,Supermarket Type1,2886.243,London,383822
595,FDR08,18.7,Low Fat,0.037699254,Fruits and Vegetables,110.2886,45,2002,Small,Tier 1,Supermarket Type1,2223.772,Kingston,123798
596,FDU04,7.93,Low Fat,0.0,Frozen Foods,123.2414,18,2009,Medium,Tier 3,Supermarket Type2,487.3656,Missisauga,713443
597,NCQ50,18.75,Low Fat,0.034501405,Household,211.7218,17,2007,Small,Tier 2,Supermarket Type1,5770.4886,Windsor,329144
598,FDL46,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.053795154000000005,Snack Foods,117.7466,27,1985,Medium,Tier 1,Supermarket Type3,1414.1592,Toronto,2731571
599,DRK37,5.0,Low Fat,0.044004675,Soft Drinks,188.85299999999998,46,1997,Small,Tier 1,Supermarket Type1,5502.8369999999995,London,383822
600,FDK48,7.445,low fat,0.0,Baking Goods,76.8354,46,1997,Small,Tier 1,Supermarket Type1,2181.8266,London,383822
601,FDV58,20.85,Low Fat,0.12125037400000001,Snack Foods,193.9452,46,1997,Small,Tier 1,Supermarket Type1,1565.9616,London,383822
602,FDN27,20.85,Low Fat,0.0,Meat,115.1808,18,2009,Medium,Tier 3,Supermarket Type2,1054.6272,Missisauga,713443
603,FDZ52,19.2,Low Fat,0.10023011400000001,Frozen Foods,112.9886,49,1999,Medium,Tier 1,Supermarket Type1,1667.829,Hamilton,747545
604,NCF42,17.35,Low Fat,0.167383061,Household,175.6712,46,1997,Small,Tier 1,Supermarket Type1,2812.3392,London,383822
605,FDQ48,14.3,Regular,0.034404732,Baking Goods,98.1726,35,2004,Small,Tier 2,Supermarket Type1,489.36300000000006,Ottawa,1323783
606,FDW49,19.5,Low Fat,0.082719632,Canned,179.3002,45,2002,Small,Tier 1,Supermarket Type1,2865.6032,Kingston,123798
607,FDR58,6.675,Low Fat,0.041913535,Snack Foods,90.7462,35,2004,Small,Tier 2,Supermarket Type1,1665.8316,Ottawa,1323783
608,NCE07,8.18,Low Fat,0.0132043,Household,143.8154,17,2007,Small,Tier 2,Supermarket Type1,2694.4926,Windsor,329144
609,FDK14,6.98,Low Fat,0.041105789,Canned,83.4934,46,1997,Small,Tier 1,Supermarket Type1,1555.9746,London,383822
610,FDC11,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",LF,0.141106202,Starchy Foods,87.9172,27,1985,Medium,Tier 1,Supermarket Type3,3836.3396,Toronto,2731571
611,FDL22,16.85,Low Fat,0.036463975,Snack Foods,90.7488,45,2002,Small,Tier 1,Supermarket Type1,543.2928,Kingston,123798
612,NCQ41,14.8,Low Fat,0.01946418,Health and Hygiene,196.3794,13,1987,High,Tier 2,Supermarket Type1,1950.7939999999999,Brampton,593638
613,FDX46,12.3,Regular,0.0,Snack Foods,57.3562,13,1987,High,Tier 2,Supermarket Type1,177.7686,Brampton,593638
614,FDC35,7.435,Low Fat,0.12308681199999999,Starchy Foods,206.9638,45,2002,Small,Tier 1,Supermarket Type1,1035.319,Kingston,123798
615,FDH45,15.1,reg,0.10564685300000001,Fruits and Vegetables,42.8796,35,2004,Small,Tier 2,Supermarket Type1,949.4308,Ottawa,1323783
616,FDX33,9.195,Regular,0.11814937699999999,Snack Foods,160.5578,17,2007,Small,Tier 2,Supermarket Type1,1283.6624,Windsor,329144
617,DRJ35,10.1,Low Fat,0.046545786,Hard Drinks,59.9878,13,1987,High,Tier 2,Supermarket Type1,484.7024,Brampton,593638
618,FDC40,16.0,Regular,0.065009745,Dairy,79.5986,13,1987,High,Tier 2,Supermarket Type1,934.7832,Brampton,593638
619,FDO19,17.7,Regular,0.016630303,Fruits and Vegetables,48.1034,45,2002,Small,Tier 1,Supermarket Type1,534.6374,Kingston,123798
620,FDP13,8.1,Regular,0.134532392,Canned,39.448,49,1999,Medium,Tier 1,Supermarket Type1,878.8560000000001,Hamilton,747545
621,FDP24,20.6,LF,0.083133128,Baking Goods,120.1756,49,1999,Medium,Tier 1,Supermarket Type1,1332.9316,Hamilton,747545
622,NCQ42,20.35,Low Fat,0.039428167,Household,127.9678,18,2009,Medium,Tier 3,Supermarket Type2,3560.6984,Missisauga,713443
623,FDY59,8.195,Low Fat,0.0,Baking Goods,93.1462,18,2009,Medium,Tier 3,Supermarket Type2,647.8234,Missisauga,713443
624,FDU14,17.75,Low Fat,0.034823127,Dairy,248.675,45,2002,Small,Tier 1,Supermarket Type1,4993.5,Kingston,123798
625,FDB21,7.475,Low Fat,0.148492521,Fruits and Vegetables,240.6854,35,2004,Small,Tier 2,Supermarket Type1,1691.7978,Ottawa,1323783
626,FDT32,19.0,Regular,0.06590129900000001,Fruits and Vegetables,188.7214,18,2009,Medium,Tier 3,Supermarket Type2,1695.7926,Missisauga,713443
627,FDK20,12.6,Regular,0.041622264,Fruits and Vegetables,124.0072,49,1999,Medium,Tier 1,Supermarket Type1,4042.7376,Hamilton,747545
628,FDX09,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.064933297,Snack Foods,174.83700000000002,27,1985,Medium,Tier 1,Supermarket Type3,4763.799,Toronto,2731571
629,FDM01,7.895,Regular,0.0945493,Breakfast,102.6332,35,2004,Small,Tier 2,Supermarket Type1,1640.5312,Ottawa,1323783
630,DRI37,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.107076832,Soft Drinks,58.7904,27,1985,Medium,Tier 1,Supermarket Type3,1288.9888,Toronto,2731571
631,FDL20,17.1,Low Fat,0.12867498300000002,Fruits and Vegetables,112.3886,45,2002,Small,Tier 1,Supermarket Type1,2334.9606,Kingston,123798
632,FDU13,8.355,Low Fat,0.18832266399999997,Canned,148.5418,18,2009,Medium,Tier 3,Supermarket Type2,2207.127,Missisauga,713443
633,FDE05,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Regular,0.0,Frozen Foods,145.2102,19,1985,Small,Tier 2,Grocery Store,437.4306,Barrie,197059
634,FDE58,18.5,Low Fat,0.052025392000000004,Snack Foods,118.4124,13,1987,High,Tier 2,Supermarket Type1,2370.248,Brampton,593638
635,FDT32,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Regular,0.065316099,Fruits and Vegetables,189.9214,27,1985,Medium,Tier 1,Supermarket Type3,5087.3778,Toronto,2731571
636,FDZ01,8.975,Regular,0.01516265,Canned,101.899,10,1998,Small,Tier 3,Grocery Store,103.199,Waterloo,104986
637,FDM08,10.1,Regular,0.053584207,Fruits and Vegetables,224.4088,46,1997,Small,Tier 1,Supermarket Type1,4697.8848,London,383822
638,FDS58,9.285,Regular,0.020989132,Snack Foods,158.6578,13,1987,High,Tier 2,Supermarket Type1,2406.867,Brampton,593638
639,FDZ26,11.6,Regular,0.144017405,Dairy,238.3222,46,1997,Small,Tier 1,Supermarket Type1,5736.5328,London,383822
640,FDC46,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.11597812199999999,Snack Foods,183.4266,27,1985,Medium,Tier 1,Supermarket Type3,7192.6374,Toronto,2731571
641,FDY51,12.5,Low Fat,0.081465335,Meat,220.7798,18,2009,Medium,Tier 3,Supermarket Type2,6611.394,Missisauga,713443
642,FDL34,16.0,Low Fat,0.041177505,Snack Foods,142.3496,17,2007,Small,Tier 2,Supermarket Type1,3246.4408,Windsor,329144
643,DRG39,14.15,Low Fat,0.042352822000000005,Dairy,51.6982,18,2009,Medium,Tier 3,Supermarket Type2,1262.3568,Missisauga,713443
644,NCG43,20.2,Low Fat,0.074541867,Household,94.1462,18,2009,Medium,Tier 3,Supermarket Type2,1758.3778,Missisauga,713443
645,FDT01,13.65,Regular,0.18454121,Canned,211.5902,45,2002,Small,Tier 1,Supermarket Type1,4672.5844,Kingston,123798
646,NCR38,17.25,Low Fat,0.114160573,Household,253.1724,17,2007,Small,Tier 2,Supermarket Type1,3775.086,Windsor,329144
647,DRF01,5.655,Low Fat,0.175352413,Soft Drinks,147.4102,49,1999,Medium,Tier 1,Supermarket Type1,2478.7734,Hamilton,747545
648,FDF53,20.75,Regular,0.083590755,Frozen Foods,182.2318,35,2004,Small,Tier 2,Supermarket Type1,3067.3406,Ottawa,1323783
649,FDS45,5.175,Regular,0.029471407999999998,Snack Foods,105.4622,13,1987,High,Tier 2,Supermarket Type1,3281.7282,Brampton,593638
650,FDR20,20.0,Regular,0.028282832,Fruits and Vegetables,46.2744,17,2007,Small,Tier 2,Supermarket Type1,1086.5856,Windsor,329144
651,FDY07,11.8,Low Fat,0.0,Fruits and Vegetables,46.5402,10,1998,Small,Tier 3,Grocery Store,229.701,Waterloo,104986
652,FDD38,16.75,Regular,0.008208341999999999,Canned,102.8674,45,2002,Small,Tier 1,Supermarket Type1,1528.011,Kingston,123798
653,DRF15,18.35,Low Fat,0.03334929,Dairy,155.034,18,2009,Medium,Tier 3,Supermarket Type2,1990.7420000000002,Missisauga,713443
654,FDH32,12.8,Low Fat,0.076060037,Fruits and Vegetables,95.141,46,1997,Small,Tier 1,Supermarket Type1,868.8689999999999,London,383822
655,NCJ42,19.75,Low Fat,0.014301326000000001,Household,103.0332,46,1997,Small,Tier 1,Supermarket Type1,1230.3984,London,383822
656,FDB56,8.75,Regular,0.074931201,Fruits and Vegetables,187.6556,18,2009,Medium,Tier 3,Supermarket Type2,938.778,Missisauga,713443
657,FDD03,13.3,Low Fat,0.080131363,Dairy,234.03,18,2009,Medium,Tier 3,Supermarket Type2,4194.54,Missisauga,713443
658,NCL18,18.85,Low Fat,0.167444431,Household,194.6136,13,1987,High,Tier 2,Supermarket Type1,1166.4816,Brampton,593638
659,FDW22,9.695,Regular,0.03033748,Snack Foods,222.9114,49,1999,Medium,Tier 1,Supermarket Type1,5764.4964,Hamilton,747545
660,FDE32,20.7,Low Fat,0.04874969,Fruits and Vegetables,37.5506,35,2004,Small,Tier 2,Supermarket Type1,113.8518,Ottawa,1323783
661,FDA34,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.014788593999999999,Starchy Foods,174.408,27,1985,Medium,Tier 1,Supermarket Type3,7443.644,Toronto,2731571
662,FDJ08,11.1,Low Fat,0.11129811099999999,Fruits and Vegetables,191.7846,17,2007,Small,Tier 2,Supermarket Type1,3057.3536,Windsor,329144
663,FDG38,8.975,Regular,0.05268526,Canned,83.3224,13,1987,High,Tier 2,Supermarket Type1,3579.3408,Brampton,593638
664,FDD29,12.15,Low Fat,0.018485511,Frozen Foods,253.1698,18,2009,Medium,Tier 3,Supermarket Type2,1522.0188,Missisauga,713443
665,NCE31,7.67,Low Fat,0.184689756,Household,35.4216,13,1987,High,Tier 2,Supermarket Type1,450.0808,Brampton,593638
666,FDS19,13.8,Regular,0.064153845,Fruits and Vegetables,76.9012,13,1987,High,Tier 2,Supermarket Type1,607.2096,Brampton,593638
667,FDU11,4.785,Low Fat,0.092516598,Breads,120.1098,13,1987,High,Tier 2,Supermarket Type1,1325.6078,Brampton,593638
668,FDL02,20.0,Regular,0.10424519800000001,Canned,105.3622,49,1999,Medium,Tier 1,Supermarket Type1,1270.3464,Hamilton,747545
669,FDO51,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Regular,0.041779181,Meat,43.4112,27,1985,Medium,Tier 1,Supermarket Type3,1107.8912,Toronto,2731571
670,DRK23,8.395,Low Fat,0.07226985,Hard Drinks,254.104,18,2009,Medium,Tier 3,Supermarket Type2,3542.0559999999996,Missisauga,713443
671,FDO27,6.175,Regular,0.17980696100000002,Meat,95.2752,18,2009,Medium,Tier 3,Supermarket Type2,1534.0032,Missisauga,713443
672,FDB16,8.21,Low Fat,0.044995630999999994,Dairy,89.2198,49,1999,Medium,Tier 1,Supermarket Type1,1308.297,Hamilton,747545
673,FDA44,19.7,Low Fat,0.053523765,Fruits and Vegetables,55.393,17,2007,Small,Tier 2,Supermarket Type1,1471.418,Windsor,329144
674,NCB18,19.6,Low Fat,0.041459372,Household,89.6514,18,2009,Medium,Tier 3,Supermarket Type2,1239.7196,Missisauga,713443
675,NCL53,7.5,Low Fat,0.036234918,Health and Hygiene,175.3028,46,1997,Small,Tier 1,Supermarket Type1,3896.2616,London,383822
676,FDR16,5.845,Regular,0.10544580099999999,Frozen Foods,214.4218,18,2009,Medium,Tier 3,Supermarket Type2,1496.0526,Missisauga,713443
677,NCQ05,11.395,LF,0.0,Health and Hygiene,151.6708,13,1987,High,Tier 2,Supermarket Type1,3460.8284,Brampton,593638
678,FDF44,7.17,Regular,0.05997133,Fruits and Vegetables,132.1968,18,2009,Medium,Tier 3,Supermarket Type2,2870.9296,Missisauga,713443
679,FDU50,5.75,Regular,0.075595405,Dairy,114.7176,17,2007,Small,Tier 2,Supermarket Type1,1259.6936,Windsor,329144
680,FDG20,15.5,Regular,0.21037580600000003,Fruits and Vegetables,178.2028,10,1998,Small,Tier 3,Grocery Store,177.1028,Waterloo,104986
681,FDD58,7.76,Low Fat,0.059341019,Snack Foods,99.77,35,2004,Small,Tier 2,Supermarket Type1,798.96,Ottawa,1323783
682,FDT01,13.65,Regular,0.18520944,Canned,212.9902,17,2007,Small,Tier 2,Supermarket Type1,3185.853,Windsor,329144
683,FDK15,10.8,Low Fat,0.098566832,Meat,98.3042,49,1999,Medium,Tier 1,Supermarket Type1,1488.0629999999999,Hamilton,747545
684,FDJ08,11.1,Low Fat,0.11084417,Fruits and Vegetables,189.2846,49,1999,Medium,Tier 1,Supermarket Type1,5159.2842,Hamilton,747545
685,FDS10,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.035015199999999996,Snack Foods,182.0318,27,1985,Medium,Tier 1,Supermarket Type3,5954.2494,Toronto,2731571
686,FDJ55,12.8,Regular,0.023567538,Meat,226.8404,49,1999,Medium,Tier 1,Supermarket Type1,4500.808,Hamilton,747545
